Date,Open,High,Low,Close,Adj Close,Volume
2019-01-10,1641.010010,1663.250000,1621.619995,1656.219971,1656.219971,6507700
2019-01-11,1640.550049,1660.290039,1636.219971,1640.560059,1640.560059,4686200
2019-01-14,1615.000000,1648.199951,1595.150024,1617.209961,1617.209961,6005900
2019-01-15,1632.000000,1675.160034,1626.010010,1674.560059,1674.560059,5998500
2019-01-16,1684.219971,1705.000000,1675.880005,1683.780029,1683.780029,6366900
2019-01-17,1680.000000,1700.170044,1677.500000,1693.219971,1693.219971,4208900
2019-01-18,1712.000000,1716.199951,1691.540039,1696.199951,1696.199951,6020500
2019-01-22,1681.000000,1681.869995,1610.199951,1632.170044,1632.170044,6416800
2019-01-23,1656.000000,1657.430054,1612.000000,1640.020020,1640.020020,5225200
2019-01-24,1641.069946,1657.260010,1631.780029,1654.930054,1654.930054,4089900
2019-01-25,1670.500000,1683.479980,1661.609985,1670.569946,1670.569946,4945900
2019-01-28,1643.589966,1645.000000,1614.089966,1637.890015,1637.890015,4837700
2019-01-29,1631.270020,1632.380005,1590.719971,1593.880005,1593.880005,4632800
2019-01-30,1623.000000,1676.949951,1619.680054,1670.430054,1670.430054,5783800
2019-01-31,1692.849976,1736.410034,1679.079956,1718.729980,1718.729980,10910300
2019-02-01,1638.880005,1673.060059,1622.010010,1626.229980,1626.229980,11506200
2019-02-04,1623.000000,1649.630005,1613.500000,1633.310059,1633.310059,4929100
2019-02-05,1643.339966,1665.260010,1642.500000,1658.810059,1658.810059,4453100
2019-02-06,1670.750000,1672.260010,1633.339966,1640.260010,1640.260010,3939900
2019-02-07,1625.000000,1625.540039,1592.910034,1614.369995,1614.369995,4626600
2019-02-08,1586.000000,1588.589966,1566.760010,1588.219971,1588.219971,5651700
